4137	1
4525	1
4920	3
5619	1
6009	1
6338	3
7087	1
7461	1
7821	3
8555	1
8943	1
9346	3
10071	2
10198	4
10443	4
10609	4
10801	4
11543	1
11933	1
12290	3
13038	2
13188	4
13402	4
13579	4
13764	4
14506	2
14621	4
14904	4
15065	3
15247	4
15996	2
16198	4
16348	4
16497	4
16765	4
17468	2
17726	4
17843	4
17950	3
18203	4
18621	2
18980	2
19332	2
20426	1
20617	3
20808	3
20946	2
21174	3
21612	3
21745	2
21936	3
22305	3
22658	3
23054	3
23422	3
23774	2
24126	3
24407	2
24539	3
24869	4
25245	3
25622	3
25832	2
26027	1
26382	3
26604	3
26719	3
26960	2
27099	3
27663	2
27847	4
28214	4
28574	4
29331	3
29507	3
29683	3
30069	3
30544	2
30807	1
31173	1
31553	0
31870	0
32345	1
32689	1
33031	3
33785	1
34165	1
34510	3
35248	1
35618	1
35988	3
36753	1
37098	1
37309	3
37466	2
38225	1
38605	1
38961	3
39715	1
40060	1
40434	3
41214	1
41544	1
41918	3
42654	1
43022	1
43402	3
44130	1
44291	3
44511	3
44695	2
44879	3
45322	3
45670	1
46014	1
46364	1
47128	0
47514	1
47662	1
47832	1
48026	1
48279	0
48582	4
48953	3
49328	3
49539	1
49880	2
50064	3
50219	3
50463	3
50684	2
50813	3
51416	1
51544	3
51913	3
52285	3
53037	1
53246	1
53440	1
53769	1
54110	1
54510	0
54883	0
55250	0
56015	1
56358	1
56700	3
57475	1
57871	1
58216	3
58953	1
59350	1
59692	3
60436	1
60831	1
61018	3
61153	2
61917	1
62261	1
62658	3
63423	1
63810	1
64149	3
64921	1
65250	1
65637	3
66362	1
66732	1
67102	1
67868	1
68635	3
69012	0
69012	0
